NO.,TERM,CLASS,AGE,SEX,EMPLOY,WORK_YEARS,PRO_YEARS,WORK_PRO,CONCEN,ADV_DEG,ADV_NO,IP CATEGORY,IP SCORE
28,1,1,16,2,1,15,5,0.33,12,21,1,4,82
47,1,1,15,1,5,6,5,0.83,3,21,1,4,89
52,1,1,16,2,1,6,5,0.83,8,21,1,4,88
56,1,3,16,1,1,15,5,0.33,9,22,1,4,80
63,1,1,15,2,5,5,5,1.00,8,22,1,4,86
100,1,1,15,2,1,15,4,0.27,9,21,1,4,97
109,1,1,15,2,3,6,5,0.83,4,22,1,4,90
117,1,1,15,2,1,6,5,0.83,12,22,1,4,80
148,1,1,16,2,1,15,5,0.33,2,22,1,4,87
170,1,1,17,2,2,18,18,1.00,9,22,1,4,93
204,1,1,15,1,1,5,4,0.80,4,22,1,4,84
251,1,3,18,1,1,19,4,0.21,9,22,1,4,86
273,1,1,18,2,1,18,18,1.00,3,21,1,4,83
284,1,1,16,2,1,18,6,0.33,9,22,1,4,81
300,1,1,15,2,5,4,,0.00,9,21,1,4,85
302,1,1,15,1,1,6,4,0.67,5,22,1,4,91
321,1,3,16,2,5,6,4,0.67,5,21,1,4,86
350,1,1,15,2,2,6,4,0.67,8,22,1,4,93
380,1,1,16,1,1,18,5,0.28,7,21,1,4,81
383,1,1,15,2,2,15,4,0.27,4,22,1,4,87
385,1,1,16,2,1,15,5,0.33,8,22,1,4,84
389,1,1,16,2,5,4,,0.00,8,21,1,4,95
400,1,1,15,2,5,4,,0.00,9,21,1,4,86
464,1,1,15,2,1,15,4,0.27,9,21,1,4,92
11,2,1,16,2,1,18,6,0.33,7,22,1,4,84
90,2,1,15,2,1,6,4,0.67,8,22,1,4,91
214,2,1,19,2,1,19,4,0.21,7,21,2,4,85
267,2,1,17,2,1,19,6,0.32,7,21,2,4,82
27,3,3,17,1,1,18,5,0.28,1,21,2,4,85
38,3,1,15,1,2,6,5,0.83,7,22,1,4,84
40,3,3,16,2,3,6,5,0.83,8,22,1,4,91
211,3,1,15,2,5,5,4,0.80,5,22,1,4,90
232,3,1,16,1,8,6,4,0.67,8,22,1,4,95
245,3,3,16,2,1,6,5,0.83,9,22,1,4,83
310,3,1,15,2,10,6,4,0.67,12,21,1,4,80
317,3,3,15,2,1,6,4,0.67,2,22,1,4,90
319,3,3,15,2,1,6,5,0.83,2,22,1,4,85
344,3,1,17,2,1,19,18,0.95,12,22,1,4,96
367,3,1,19,1,1,19,14,0.74,7,21,2,4,84
433,3,3,16,1,1,6,5,0.83,5,22,1,4,86
456,3,1,17,2,1,18,5,0.28,2,22,1,4,86
